;INSEE_COM;NOM_COM;SUPERFICIE;POPULATION;CODE_DEPT;NOM_DEPT;CODE_REG;NOM_REG;Code_postal;Nom;Région
1;01118;CORBONOD;3201;1203;01;AIN;84;AUVERGNE-RHONE-ALPES;1420.0;Ain;Rhône-Alpes
1;01068;CERDON;1212;734;01;AIN;84;AUVERGNE-RHONE-ALPES;1450.0;Ain;Rhône-Alpes
1;01307;PORT;432;850;01;AIN;84;AUVERGNE-RHONE-ALPES;1460.0;Ain;Rhône-Alpes
1;01331;SAINT-ALBAN;818;164;01;AIN;84;AUVERGNE-RHONE-ALPES;1450.0;Ain;Rhône-Alpes
1;01279;ONCIEU;756;95;01;AIN;84;AUVERGNE-RHONE-ALPES;1230.0;Ain;Rhône-Alpes
1;01198;JOYEUX;1657;250;01;AIN;84;AUVERGNE-RHONE-ALPES;1800.0;Ain;Rhône-Alpes
1;01032;BELIGNEUX;1331;3172;01;AIN;84;AUVERGNE-RHONE-ALPES;1360.0;Ain;Rhône-Alpes
1;01083;CHANEINS;1269;817;01;AIN;84;AUVERGNE-RHONE-ALPES;1990.0;Ain;Rhône-Alpes
1;01407;SEYSSEL;242;950;01;AIN;84;AUVERGNE-RHONE-ALPES;1420.0;Ain;Rhône-Alpes
1;01372;SAINT-MARTIN-DE-BAVEL;858;426;01;AIN;84;AUVERGNE-RHONE-ALPES;1510.0;Ain;Rhône-Alpes
1;01090;CHATENAY;1521;346;01;AIN;84;AUVERGNE-RHONE-ALPES;1320.0;Ain;Rhône-Alpes
1;01087;CHARIX;1858;283;01;AIN;84;AUVERGNE-RHONE-ALPES;1130.0;Ain;Rhône-Alpes
1;01078;CHALLEX;877;1389;01;AIN;84;AUVERGNE-RHONE-ALPES;1630.0;Ain;Rhône-Alpes
1;01160;FERNEY-VOLTAIRE;479;8844;01;AIN;84;AUVERGNE-RHONE-ALPES;1210.0;Ain;Rhône-Alpes
1;01385;SAINT-REMY;736;964;01;AIN;84;AUVERGNE-RHONE-ALPES;1310.0;Ain;Rhône-Alpes
1;01154;ETREZ;1228;796;01;AIN;84;AUVERGNE-RHONE-ALPES;1340.0;Ain;Rhône-Alpes
1;01172;GERMAGNAT;940;147;01;AIN;84;AUVERGNE-RHONE-ALPES;1250.0;Ain;Rhône-Alpes
1;01437;VESCOURS;1248;222;01;AIN;84;AUVERGNE-RHONE-ALPES;1560.0;Ain;Rhône-Alpes
1;01452;VIRIEU-LE-GRAND;1265;1141;01;AIN;84;AUVERGNE-RHONE-ALPES;1510.0;Ain;Rhône-Alpes
1;01425;LA TRANCLIERE;1474;302;01;AIN;84;AUVERGNE-RHONE-ALPES;1160.0;Ain;Rhône-Alpes
1;01405;SERVAS;1303;1192;01;AIN;84;AUVERGNE-RHONE-ALPES;1960.0;Ain;Rhône-Alpes
1;01238;MASSIEUX;320;2420;01;AIN;84;AUVERGNE-RHONE-ALPES;1600.0;Ain;Rhône-Alpes
1;01181;GROISSIAT;620;1164;01;AIN;84;AUVERGNE-RHONE-ALPES;1100.0;Ain;Rhône-Alpes
1;01017;ARGIS;788;424;01;AIN;84;AUVERGNE-RHONE-ALPES;1230.0;Ain;Rhône-Alpes
1;01323;REYSSOUZE;956;973;01;AIN;84;AUVERGNE-RHONE-ALPES;1190.0;Ain;Rhône-Alpes
1;01047;BLYES;936;915;01;AIN;84;AUVERGNE-RHONE-ALPES;1150.0;Ain;Rhône-Alpes
1;01037;BENONCES;1533;277;01;AIN;84;AUVERGNE-RHONE-ALPES;1470.0;Ain;Rhône-Alpes
1;01091;CHATILLON-EN-MICHAILLE;3768;3136;01;AIN;84;AUVERGNE-RHONE-ALPES;1200.0;Ain;Rhône-Alpes
1;01074;CHALAMONT;3297;2402;01;AIN;84;AUVERGNE-RHONE-ALPES;1320.0;Ain;Rhône-Alpes
1;01081;CHAMPFROMIER;3185;696;01;AIN;84;AUVERGNE-RHONE-ALPES;1410.0;Ain;Rhône-Alpes
1;01434;VERSAILLEUX;1939;354;01;AIN;84;AUVERGNE-RHONE-ALPES;1330.0;Ain;Rhône-Alpes
